Venue,Venue ID,Venue Latitude,Venue Longitude,Venue Category,Borough
CONAD CITY,5ca3957e6bdee6002c37512e,40.8235185,14.2179305,Supermarket,Posillipo
Malìa Chalet,590e3f5b8134880da54f4cc2,40.825165000000005,14.220983499999999,Café,Chiaia
Carraturo Cafè,4c2466d1b7b8a593e0703ce8,40.83361936847025,14.221577811397045,Café,Chiaia
Tokyo,4e7278a8183821b8cca2496e,40.8325104907072,14.2244376397986,Sushi Restaurant,Chiaia
El Sombrero,4c9b9fdb971676b07d375ee2,40.83656549697263,14.224447108559124,Pub,Chiaia
Le arcate,4f9ea650e4b087d95f00f5d8,40.83894333541804,14.227243335744047,Restaurant,Vomero
Aurelio,4d00f1ff75d3236ac449edf7,40.832275727565396,14.225375618101133,Food Truck,Chiaia
ONE1,4de0334c45dd3eae8768a55c,40.839239818225494,14.221884422359775,Cocktail Bar,Vomero
Supermercato Carrefour Express,4c9bb55d5e1a95211b6666f3,40.83433,14.224908,Convenience Store,Chiaia
Rossopomodoro,4c9517b6c8a1bfb74cd022f3,40.83619028911507,14.221318486670999,Pizza Place,Chiaia
Baik,4c4359e4dd1f2d7f885c7ef9,40.839281970592154,14.221368499039462,Cocktail Bar,Vomero
Pizzeria I Corsari,4c9ba60e3f999c74c4db298e,40.83683351413781,14.223089218139648,Pizza Place,Chiaia
Wild Draco,4e9330cd8b81592e628856c1,40.833389143620245,14.223282499426867,Gym,Chiaia
Corso Vittorio Emanuele,4d1b69a75acb721e0d290eb2,40.836550648261685,14.22625554283429,Road,Chiaia
Cumana Corso Vittorio Emanuele (L7),4ca644c48882199c961643d4,40.83712965056179,14.220252937785554,Light Rail Station,Chiaia
Jorudan Sushi,505242c6e4b08416d85cd623,40.838445869736965,14.219920205352823,Japanese Restaurant,Chiaia
B&B Mergellina,4fe47ba6a17c54ebde3779de,40.834479493798796,14.229140281677244,Bed & Breakfast,Chiaia
Giardini Nino Taranto,4c8d375bed3ab60c919c6e21,40.839991,14.224034,Plaza,Vomero
Napoli 1820,4d4407df4e5d3704536ee693,40.830625,14.223576999999999,Pizza Place,Chiaia
El Sombrero,523ded6b11d215c07e3e01cb,40.83178598790401,14.219556897002196,Gastropub,Chiaia
Parco Vergiliano a Piedigrotta,4c0233b99a7920a13427ce79,40.83115254350181,14.219607987183313,Park,Chiaia
"Metro Mergellina (L2, L6)",4c9a2b473bc3199cff34b062,40.83147682032661,14.21936956649405,Metro Station,Chiaia
Molo Luise,4e6136bb2271573ad71402da,40.82544259658693,14.222355530432994,Harbor / Marina,Chiaia
Chalet Del Mare,4db2a0388154eb510ded8d17,40.82464,14.220711999999999,Café,Chiaia
Margellina,50e02f67e4b0fe6437067253,40.824571321773846,14.22057448744644,Harbor / Marina,Chiaia
Faro di Mergellina,5166d3f1e4b0b6acd2d981b4,40.82600808690214,14.223661199621716,Lighthouse,Chiaia
Enoteca Belledonne,4bd712e5637ba5931935f970,40.83517892694082,14.239378612927384,Wine Bar,Chiaia
Antichi Sapori Partenopei,54cf7990498e27d620cca9ad,40.83586114783705,14.243236308738654,Diner,Chiaia
Gourmeet,54d8a12e498e258e7dca40c2,40.834759999999996,14.241183,Bistro,Chiaia
Muu Muuzzarella Lounge,515439c1e4b0ac96a501d496,40.83526448380753,14.241308724985592,Diner,Chiaia
Palazzo Alabardieri,4bc88796dc55eee12a88e8ac,40.83479013462861,14.241711380600135,Hotel,Chiaia
Birdy's Bakery,50d74f6be4b079e5d1c66406,40.83530655088276,14.238681808787613,Cupcake Shop,Chiaia
Pescheria Mattiucci,4f7607a8e4b0b8451d9b29ba,40.834927784328926,14.23991417856402,Fish Market,Chiaia
Rione San Pasquale,4d9652e3744f37047c72b757,40.83476057502249,14.240090940086715,Other Great Outdoors,Chiaia
Piazza dei Martiri,4c29ea72fe6e2d7f007c553c,40.83433333027273,14.241931628063568,Plaza,San Ferdinando
Mosto - Birra&Distillati,55aa1a9a498ef4aa6fdd2b6e,40.83496889858332,14.241205936634396,Beer Bar,Chiaia
66 Fusion Bar,4c13ed6b82a3c9b63064fcf8,40.83505502350899,14.240525236778085,Bar,Chiaia
Antica Latteria,4dcab3fd315103976113b38d,40.835040102988465,14.241247809791824,Italian Restaurant,Chiaia
Happening,50dca856e4b0e04bec7f4bd3,40.835494829176184,14.240557474630544,Cocktail Bar,Chiaia
Tender (Kisskissbangbang sushi&drink),4e8f53efb8f79f71de0a149f,40.834341948811776,14.242180274761633,Sushi Restaurant,San Ferdinando
Ba-Bar,526d535811d2fae4ee610c8a,40.83468773195415,14.240510154337876,Café,Chiaia
Gucci,4efb1bd5b8f72ebeab88f352,40.83335724605962,14.241220951080322,Boutique,Chiaia
L'Antiquario,567b03f0498e836ef543fa10,40.83301851906714,14.24227186505373,Speakeasy,San Ferdinando
Casa Infante,578fb797cd10ae4971d6f2bf,40.836174,14.245551,Ice Cream Shop,San Ferdinando
Tunnel Borbonico,4d7b4d0673ca5481e0e3487c,40.835590979924284,14.246238132737885,History Museum,San Ferdinando
Amici Miei,4d59a9d024466ea8f5c3799f,40.835147,14.245276,Italian Restaurant,San Ferdinando
Terrazza Calabritto,4d6eb4f96b235481bc0410e2,40.83300211222156,14.241642943684845,Italian Restaurant,Chiaia
Chiquita Fruit Bar,52e2da7d498ef1c5e9431478,40.836098116105376,14.245419903642436,Juice Bar,San Ferdinando
Tunnel Borbonico,50b0df6fe4b047828b7acc73,40.83271978574225,14.243243276757116,Historic Site,San Ferdinando
Barril,505b7815e4b0ae546188a90b,40.8350239107071,14.238961576192825,Wine Bar,Chiaia
Jap-one,4bdf166dc3392d7f4a229cd5,40.83348988310181,14.243870716921785,Sushi Restaurant,San Ferdinando
Pizza Margherita,4cfb8cd80df3236a2668faa9,40.833195195912666,14.238859811363314,Pizza Place,Chiaia
Il Gelatiere,4c1c0e05b489b7135f5aa9c7,40.834894,14.236219,Ice Cream Shop,Chiaia
Piazza Vittoria,4ba6322ff964a520a43a39e3,40.832370543998096,14.24141380334917,Plaza,Chiaia
E. Marinella,4be44fc9910020a1de86d114,40.83305398798152,14.240827242603542,Men's Store,Chiaia
Piazza San Pasquale,4c5a900e04f9be9af202f260,40.83403651262328,14.236400613420141,Plaza,Chiaia
Villa Comunale,4be2fc77660ec92846cdca3b,40.832412873852356,14.239182543185233,Park,Chiaia
R-Store Napoli Chiaia - Apple Premium Reseller,4f8c4c2de4b039b147b34bcf,40.836139547887285,14.238204345489617,Electronics Store,Chiaia
CLU coffee & food,4ede55ef6d869ce1d1869c98,40.83394156262706,14.237790002813384,Mediterranean Restaurant,Chiaia
Marshal Clubbing,4df3d745b61cbd3ec01ccfd3,40.83324188553844,14.238382023178602,Japanese Restaurant,Chiaia
Carrefour Market,4cb187d91168a093890b3423,40.835088282540696,14.237539275783314,Supermarket,Chiaia
SugarQueen,523252f7498e70add64561f7,40.834001313952854,14.238296861738391,Cupcake Shop,Chiaia
Etoile,577a23cb498e9957f661df15,40.836627,14.238054,Café,Chiaia
Hotel Majestic Palace,4bc8f7a8762beee1fdc03d38,40.83584885560831,14.23753843926734,Hotel,Chiaia
Marshall sushi,50807634e4b0be59d489d0cb,40.833302243057254,14.238404732904522,Japanese Restaurant,Chiaia
'A Zingara,5057b341e4b0b36647ec22dd,40.833265129135434,14.238103829327553,Sandwich Place,Chiaia
L'Ostricaio Ristorante,5717d512498e22ad270130b2,40.83617602031817,14.234759509563446,Italian Restaurant,Chiaia
Manfredi,4b519aa5f964a5208f5027e3,40.836075060138,14.234647079168367,Pizza Place,Chiaia
Il Castello Trattoria,4dbac0194b22153e34b9e3fa,40.83583558524306,14.234805286181626,Italian Restaurant,Chiaia
Trattoria dell'Oca,4bd6d4a16798ef3b5ba4658d,40.83587949478732,14.234700312054509,Italian Restaurant,Chiaia
Funicolare Centrale - Petraio,4ca0fe050df79c74b9cc301a,40.84123287287681,14.238860607147215,Cable Car,Chiaia
Caffetteria Colonna,4dc3f76d7d8b14fb46041faf,40.836711,14.234404999999999,Café,Chiaia
Pizzeria Mattozzi,4cc1e6e791413704926db055,40.8360928776951,14.240915745984335,Pizza Place,Chiaia
Villa Pignatelli,4c024704310fc9b65f3dc461,40.83380380696855,14.233834472946414,Museum,Chiaia
Jazzy Bar,4d2658df8292236afbb905bb,40.8351389832753,14.240692756197829,Cocktail Bar,Chiaia
Veritas Restaurant,4eadeac5a17c199864ed4b88,40.83720877579202,14.231302441261597,Restaurant,Chiaia
cantine sociali,52b35650498e5b5da8e9a0d7,40.83560495492549,14.241172900195501,Wine Bar,Chiaia
Chandelier Cafè,4b883de9f964a520dce931e3,40.83498379514725,14.240458110383296,Cocktail Bar,Chiaia
Al Muerzo,4e9b55979a52edbd65b07fcf,40.83436664580592,14.234669031296306,Spanish Restaurant,Chiaia
S'move Light Bar,4c44b21ada2176b0d1f1627a,40.83443353286239,14.240140859259446,Cocktail Bar,Chiaia
Giappo Sushi Bar Belledonne,4eadcdfb2c5bb67b23c8e017,40.83506,14.24015,Sushi Restaurant,Chiaia
Gran Caffè Cimmino,4bf7f8374a67c928f87124cf,40.83564601380436,14.241530470171009,Café,Chiaia
Occhi Occhi Oh,4be5e063d4f7c9b629122620,40.834425648250324,14.240239974523439,Nightclub,Chiaia
Acquario di Napoli,4bf52c2698ac0f47c7c164a8,40.833293,14.235829999999998,Aquarium,Chiaia
12morsi,56df3100498e1e5a74642bd9,40.834728000000005,14.241457,Pub,Chiaia
Donna Margherita,4d1b274f1683a14304ae7a51,40.835285451896475,14.241454039933867,Pizza Place,Chiaia
Happy Rock Café,4eed0d8a7ee5f45387888c03,40.834417343949546,14.234708772291164,Restaurant,Chiaia
La Torteria,4c8d0c4b55fba0937fcb64ab,40.83532058723026,14.242196466395695,Dessert Shop,Chiaia
Via Gaetano Filangieri,4e610a3118a8ce02fc3a9f17,40.83583138558684,14.241328640111314,Road,Chiaia
Filangieri,4cc9b9f8d147a093e0e5e8ae,40.835570000000004,14.241710000000001,Multiplex,Chiaia
El Moccolo,4f081cc3754a5b5397d81140,40.83441658348783,14.234638810157776,Mexican Restaurant,Chiaia
La Focaccia,4d7a148670de5481bcc0c499,40.83504345824935,14.240062552596578,Pizza Place,Chiaia
Seventy,4cbb4d964352a1cd560e98f5,40.834730115876,14.240498264806785,Lounge,Chiaia
Umberto,4e12f91ce4cdef074b806ebd,40.8348,14.24105,Pizza Place,Chiaia
Orange,4d9a2f000d5f224b3cb4a04e,40.833729274983256,14.23472553950751,Burger Joint,Chiaia
Via Francesco Caracciolo,4b92fff7f964a520b72d34e3,40.831665,14.24039,Road,Chiaia
La Feltrinelli,4c5ad7746407d13ac392b528,40.83455859618105,14.242104455437953,Bookstore,San Ferdinando
Crudore',4e8b63d361afcc24d9b31a5b,40.831502,14.242459,Seafood Restaurant,San Ferdinando
Vinarium Restaurant Enoteca,4bdf09cfc3392d7fcef99bd5,40.83432776742962,14.242301853377205,Restaurant,San Ferdinando
Leopoldo,527fb23a498e9cdc2f7aceee,40.83559738207758,14.243020559230793,Dessert Shop,San Ferdinando
Stella,4e63ddca45ddda352a31f590,40.83152214392664,14.242018203516253,Pizza Place,San Ferdinando
Brace & Risotti di Massarè,53a48b94498ef54d028296d0,40.83094684545033,14.244349127133765,Steakhouse,San Ferdinando
Gran Caffè La Caffettiera,4c160abd7f7f2d7f4646e368,40.83416309957929,14.241988893110655,Café,San Ferdinando
El Poble,4dea095cd4c00071b817c4ec,40.8319948279761,14.242973812299926,Mediterranean Restaurant,San Ferdinando
Caffeteria Serpentone,56c87320cd10f93f4784230f,40.83576091991152,14.243241986361653,Snack Place,Chiaia
Sorbillo Lievito Madre al Mare,51b4d345498e967c2434d619,40.83156950524468,14.241749791391936,Pizza Place,San Ferdinando
La casa di Ninetta,52bc79a011d2d498d2109b03,40.83195897591431,14.242905378341675,Italian Restaurant,San Ferdinando
Chalet Giallo,4d4d5328b1fa236ae60b8d29,40.831955,14.238307,Coffee Shop,Chiaia
Partenope Relais Boutique Hotel Naples,51d47526498e004fa3fd0387,40.83135515605756,14.243580716872305,Hotel,San Ferdinando
Rossopomodoro,4cfe3a3720fe37044a1864f8,40.830918682690495,14.244312590542872,Italian Restaurant,San Ferdinando
Fresco,4f5b65e6e4b04fe10dbeed60,40.83140717601608,14.243280245241305,Pizza Place,San Ferdinando
Metropolitan,4d08f4187b30a1cdd46aa2cc,40.83575175468057,14.243161310081966,Multiplex,Chiaia
Caffetteria 5 Bistrot,54c75847498e52f04768f572,40.835602293941385,14.242918427174065,Bistro,San Ferdinando
Teatro Sannazzaro,4c0e3c957189c928401ad8b6,40.83578933447032,14.243559933607806,Theater,Chiaia
Il Baretto,4e30435aae60231c03354b75,40.84014036819961,14.22400553639519,Cocktail Bar,Vomero
Dal Delicato,4ddd5e5818387791398578bd,40.82358424873157,14.218983552886375,Seafood Restaurant,Chiaia
H Rooms Boutique hotel Naples,4dc458acd164eb9c9fd32f03,40.829001,14.221681,Hotel,Chiaia
Molo di Sopraflutto Sannazzaro (Molo Luise) | Porto di Napoli,4e21c3f2cc3fee7eee22104e,40.82816381252365,14.222638607025145,Pier,Outside
Pizza Gourmet Di Giuseppe Vesi,58ae1b975804ea7f2012b587,40.83171,14.228814000000002,Pizza Place,Chiaia
Pizzeria La Notizia,4c191cad834e2d7f50e42980,40.83574879481244,14.209840109256382,Pizza Place,Fuorigrotta
Carrefour Market,4e58d7ce2271886714ea723e,40.83788250011521,14.214211279042788,Supermarket,Chiaia
pizzeria gaetano genovesi,55a6c55b498e4f5ac2760547,40.83536494127097,14.211541641079366,Pizza Place,Chiaia
Krugel,4e43932e1fc752e9103fad70,40.83838038522953,14.214197141605895,Sandwich Place,Vomero
Pizzeria La Caraffa,4d58427136d1721eceabf4b1,40.83852196355258,14.21410944658306,Pizza Place,Vomero
Supermercato  Deco',4f911456e4b076d2c919da97,40.83745075849175,14.209401666397214,Grocery Store,Fuorigrotta
Teatro Cilea,4ec54c94e300e6894f4aadb6,40.84002178200822,14.216207691563866,Theater,Vomero
Museo di San Martino,4ce93ec0595cb1f72c8acd14,40.843810863814454,14.240289652674766,Art Museum,Vomero
Museo Napoli Novecento,4ff1a4ece4b0dccbdddb9fea,40.84370796546732,14.239551578733526,Art Museum,Vomero
Villa Maria,504b32cae4b0548541a2fa71,40.83146883818718,14.21352270718714,Mediterranean Restaurant,Chiaia
La Sacrestia,4dd40e6db0fbf653b64b997f,40.828604929183896,14.212972092937456,Italian Restaurant,Chiaia
Caffè Margherita,4ccc1b223e339c74a57a133c,40.83634648230497,14.221587181091307,Café,Chiaia
Ristorante da Dora,4e384f291f6ebc502ce97c24,40.83445306566657,14.230149984240231,Italian Restaurant,Chiaia
Grand Hotel Parker's,4bd70d12304fce72831733ab,40.837170426785434,14.230221746129965,Hotel,Chiaia
Villa D'Angelo,4e21df3a52b1f82ffba33c34,40.83958263571036,14.227896191115404,Italian Restaurant,Vomero
Piazza Della Repubblica,4e3f6156ae604542367f5ee3,40.831814031456396,14.226056849680456,Plaza,Chiaia
Bosco Dei Camaldoli,4f8a9387e4b057e281838737,40.85938348296849,14.196596545771728,Park,Arenella
Villa Maylea,50d5c8a4e4b00d641bdc5553,40.858607,14.202075,Italian Restaurant,Soccavo
Expert,4e0dec27a8099e1526035a4a,40.86883989166333,14.225234985351562,Electronics Store,Stella
Metro Policlinico (L1),4d9baf020296ba7affdd0a62,40.8654328,14.221785500000001,Metro Station,Chiaiano
Antica Trattoria Napoletana Antonio La Trippa,4fe719fde5e8318a77d177aa,40.86904138345773,14.222639370548821,Trattoria/Osteria,San Carlo all'Arena
Mr. Cook,4c8a27201797236a9ed15e88,40.86433690763658,14.220255131055007,Fast Food Restaurant,Chiaiano
Napoli Napoli,4c892dbcf53b236a64f4aca6,40.868979402671684,14.22273605946358,Pizza Place,San Carlo all'Arena
Pasticceria Bellavia,4d85da8ee83fa143e04083a1,40.860418874091295,14.219539866945878,Dessert Shop,Arenella
Rocco E I Suoi Fratelli,4d43e7b214aa8cfa5e3d603d,40.8595355239809,14.221509690222742,Pizza Place,Arenella
New Green Form,4f3e7839e4b04eeb4a768d36,40.855171146403706,14.226035501454954,Gym,Arenella
Campo Garden Park,4d9e1e4c83f36ea80211c894,40.854085999999995,14.218106,Soccer Field,Arenella
Giardinetti di Via G. Jannelli,4f4747aee4b0e4450470634f,40.85259454407036,14.218711073319227,Park,Arenella
Pizza Prestige,50f87f08e4b0ff62a1839b7e,40.86189458798172,14.219151735305786,Pizza Place,Arenella
Libreria del Policlinico,4da4370a9935a093060cd86f,40.8649624051348,14.220408402400286,Bookstore,Chiaiano
Green Park Hotel,517cd703e4b019c93c60fd17,40.866689,14.216073999999999,Hotel,Chiaiano
Les Parfums D'Elite,5afe22dddd8442002c83a840,40.86671,14.21555,Perfume Shop,Chiaiano
Tennis Club Parco Vanna,4eb0f6efb8035a99edfee081,40.85782124450187,14.219057349525045,Tennis Court,Arenella
M' 'o Vec' io,4c49de4476fbb713bab79874,40.858257,14.220877999999999,Pizza Place,Arenella
Campo Marasca,4d30bd2ff986a0939872ff66,40.856195311626884,14.214476353374678,Gym / Fitness Center,Arenella
Vecchia America,4c44d18c2d3ec9b6ff6b2fae,40.850075673983774,14.227471148114097,Sandwich Place,Arenella
Herr Daniel,4d265842915fa0935f9ce909,40.848652071937146,14.228955556143733,Gastropub,Arenella
Pizzeria Scugnizzi,51aa519d498e290a1d4cbe36,40.84726451090969,14.2218275893133,Pizza Place,Vomero
Fish Experience,51e978e4498e84e7708afee2,40.84757356271044,14.22779400486104,Fish & Chips Shop,Arenella
Murphy's Law,5020cd33e4b0b95a7151651e,40.84671788145103,14.227990017466395,Gastropub,Vomero
Mama Tours,4fba0ff4e4b068706b5e248f,40.85030250736814,14.231144742716776,Travel Agency,Arenella
Casa Infante,4e2b0204483bb05f05998e56,40.84781435146471,14.22843631895472,Ice Cream Shop,Arenella
Cantiere Pub & Grill,4f8591b0e4b0be4a11ffb298,40.85170057362061,14.226374758858787,Gastropub,Arenella
Piazza degli Artisti,4c93d1a56b35a143629015dc,40.84788246623287,14.228560403543876,Plaza,Arenella
Spicchi D'autore,55806335498e81809269ec84,40.845528,14.226247,Pizza Place,Vomero
Carrefour Market,56ed8fe5cd105b722072b92c,40.845820908128964,14.226302148798606,Supermarket,Vomero
Speedy Pita,4cc47a2391413704eb1cc355,40.846150166898866,14.227044641221106,Greek Restaurant,Vomero
Piazza Medaglie d'Oro,4c9f230e2fb1a143ec21f140,40.850436650712204,14.230967489744248,Plaza,Arenella
Svapo Napoli,503f86a9e4b04a42bda3d616,40.85358,14.226992999999998,Smoke Shop,Arenella
Mercatino di Antignano,4c1c9e9cb4e62d7ff753db93,40.8488141592363,14.22954821233271,Market,Arenella
Emilio,4e208ffeb0fbdf9ba7a0b3f8,40.84803336575585,14.22279832125931,Pizza Place,Vomero
Miseria e Nobiltà,4cafb226eb65b1f7c7ed65cd,40.85041,14.227120000000001,Pub,Arenella
Il Polipo,4c829fffd92ea093c6984c72,40.848490000000005,14.219679999999999,Pizza Place,Arenella
Stadio Arturo Collana,4c1906c6838020a1b211e561,40.84645165964866,14.224088340997696,Stadium,Vomero
Piazza Quattro Giornate,4d7e17bf9df3f04db8e6bd94,40.84609602547293,14.225404002685629,Plaza,Vomero
Big Pit,4bc9834c0687ef3b6b15dacc,40.8519800845999,14.229337538342726,Pub,Arenella
Joker,4de96f10d4c00071b808cdb7,40.84619045596897,14.228912380607865,Gastropub,Vomero
Pizzeria Vittoria,4fa97276e4b0ce6d99f8e242,40.85252209321968,14.229934254398145,Restaurant,Arenella
La Padella,4cc32e1e06c25481ecd28e47,40.85132028920575,14.232671052578512,Fast Food Restaurant,Arenella
Villa Floridiana,4c2dba26260bc928136d1ad3,40.85130328075981,14.232739811057373,Park,Arenella
La Controra,4bd1ada25e0cce72afd2a184,40.852163653254735,14.240078493284292,Hostel,Avvocata
Il Ciottolo,4c0035d1369476b0380e8f1f,40.851324127424185,14.2326519163769,Snack Place,Arenella
Beckett Pub,4c8be792cf3ea143ba4af051,40.853935399487256,14.230421650713792,Pub,Arenella
Teatro Acacia,4d4dc16913d88cfa7c350dda,40.85132634410353,14.23266442329358,Theater,Arenella
Pizzeria Alba,4da4c1ddb3e7236a48674d79,40.85075536792875,14.233726605214558,Pizza Place,Arenella
Bar Gianni,4c4b78fef7b49c74e46a1ac2,40.853227012164425,14.230627314422936,Café,Arenella
Piazza Francesco Muzii (Piazza Arenella),4c49303720ab1b8d11387116,40.85132953458361,14.23266499968911,Plaza,Arenella
Dragon Cafè,4cc33b00b2beb1f72b4f154c,40.85132445708721,14.232662079600976,Café,Arenella
Sinclair,4cdc6661a1bba35d41269ae5,40.85134370661192,14.232664242309903,Gastropub,Arenella
Parco Mascagna,4d1879f985fc6dcba561b54e,40.85131071838273,14.232689721718907,Park,Arenella
Gran Caffè,50557fe9e4b0c7508b778440,40.85370758630771,14.230997665404761,Café,Arenella
Piazza Canneto,4fdf5af1e4b0f18e7861ad1a,40.855074975626906,14.235531981087913,Plaza,Arenella
La Ciofeca,4ec37b44e5fa690c1ebbdb11,40.85074197211604,14.233425711443724,Café,Arenella
Alimentari Gennaro Papa,4c6e519b6af58cfa79f18b17,40.85481871661853,14.2407488822937,Bakery,Avvocata
Fratelli La Bufala,4c476651972c0f47afaf2321,40.849871896691475,14.236184519366116,Pizza Place,Arenella
Carrefour Market,4c4b1a9b959220a16785190f,40.85129402584072,14.23272443948536,Supermarket,Arenella
Piazza Giuseppe Mazzini,4decb0afe4cdc079f4bba620,40.851311081921956,14.241044763016419,Plaza,Avvocata
Carrefour Express,4d497fd4f53c8cfa8fbd1847,40.85825,14.230157,Convenience Store,Arenella
Pizzeria Sempre Pizza,4dc67d2681303adecbb1b24e,40.856508549108966,14.23265928676464,Pizza Place,Arenella
Il Mellonaro,4c54721c1b46c9b6c2d69bce,40.857253074646,14.230084419250488,Farmers Market,Arenella
Qui,517ccd15498e199d42fa9b67,40.850106,14.220523000000002,Paper / Office Supplies Store,Arenella
Fermento,5698e100498eaf2adb85def2,40.850415000000005,14.22085,Pizza Place,Arenella
Vomero Service - Assistenza Smeg,598038acf1fdaf0cd1619423,40.85181,14.22035,Other Repair Shop,Arenella
Gelatosità,4c2e66fa7cc0c9b67efee99a,40.84770359835016,14.231214603179119,Ice Cream Shop,Arenella
The Penny Black Pub,4bd5ede56798ef3bbe40648d,40.8463827042492,14.2302366660538,Gastropub,Vomero
Pasticceria Bellavia,4d37313d84462c0f6660b7ce,40.85360662859561,14.230308943278878,Dessert Shop,Arenella
L'angolo del Paradiso,4dc18e24d16455f8322bd997,40.84650422612814,14.232424899519351,Pizza Place,Vomero
Piazza Cosimo Fanzago (Piazza Bernini),4eb180e493adccbac4b173a9,40.847429136974796,14.23123267544189,Plaza,Arenella
Caffetteria Bernini,4bfe0c97b68d0f47ddb8e957,40.84747401267264,14.23135629312624,Café,Arenella
Viktoria Platz,4d4891802165721ebb7ac8d7,40.849652014221356,14.232355493599211,Sandwich Place,Arenella
